No,Tanggal,Waktu (WIB),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
1,2026-04-01,13:25:29,-8.93,116.92,10,2.5,21 km Selatan SUMBAWABARAT-NTB,
2,2026-04-01,13:52:45,-8.85,116.84,17,2.2,11 km Selatan SUMBAWABARAT-NTB,
3,2026-04-01,14:41:05,-8.12,114.83,12,2.2,29 km Barat BULELENG-BALI,
4,2026-04-01,15:20:58,-8.24,114.79,11,2.2,24 km TimurLaut JEMBRANA-BALI,
6,2026-04-01,23:15:33,-9.66,114.13,55,2.9,154 km BaratDaya KUTASELATAN-BALI,
8,2026-04-02,01:30:24,-8.57,116.44,18,1.4,13 km BaratLaut LOMBOKTIMUR-NTB,
10,2026-04-02,19:54:04,-9.53,117.16,12,2.1,92 km Selatan SUMBAWABARAT-NTB,
11,2026-04-02,21:39:41,-8.46,117.22,23,2.3,20 km Timur PERNANG-NTB,
12,2026-04-02,21:53:58,-9.53,117.12,21,2.2,91 km Selatan SUMBAWABARAT-NTB,
13,2026-04-02,22:00:39,-8.46,117.24,16,2.0,20 km Barat SUMBAWA-NTB,
14,2026-04-02,22:08:40,-8.5,117.24,10,1.8,20 km Barat SUMBAWA-NTB,
15,2026-04-02,22:22:32,-8.47,117.25,14,2.1,19 km Barat SUMBAWA-NTB,
16,2026-04-03,02:40:39,-7.84,114.31,10,2.1,38 km Tenggara SITUBONDO-JATIM,
17,2026-04-03,03:45:23,-8.18,114.82,20,1.5,31 km Barat BULELENG-BALI,
18,2026-04-03,03:53:08,-8.19,114.84,20,1.4,29 km Barat BULELENG-BALI,
19,2026-04-03,06:17:17,-8.5,115.12,24,1.7,4 km Utara TABANAN-BALI,
20,2026-04-03,07:58:54,-8.81,116.91,19,1.3,9 km Tenggara SUMBAWABARAT-NTB,
22,2026-04-03,10:45:36,-8.82,116.89,10,2.1,8 km Tenggara SUMBAWABARAT-NTB,
23,2026-04-03,10:54:33,-8.85,116.82,10,1.8,11 km Selatan SUMBAWABARAT-NTB,
24,2026-04-03,21:39:02,-9.3,115.45,55,2.5,61 km Tenggara KUTASELATAN-BALI,
25,2026-04-03,23:40:12,-9.52,116.36,38,2.7,91 km Selatan LOMBOKTENGAH-NTB,
26,2026-04-04,02:37:38,-9.09,116.83,10,2.0,37 km Selatan SUMBAWABARAT-NTB,
27,2026-04-04,04:05:06,-8.23,114.79,10,2.2,25 km TimurLaut JEMBRANA-BALI,
28,2026-04-04,04:09:33,-8.22,114.8,35,2.3,27 km TimurLaut JEMBRANA-BALI,
30,2026-04-04,09:57:56,-9.81,117.3,26,2.7,127 km Tenggara SUMBAWABARAT-NTB,
32,2026-04-04,14:24:25,-9.01,116.77,10,2.1,30 km Selatan SUMBAWABARAT-NTB,
33,2026-04-05,00:10:01,-8.55,116.06,14,1.5,17 km BaratLaut LOMBOKBARAT-NTB,
34,2026-04-05,04:01:36,-9.43,116.6,43,2.1,80 km Selatan SUMBAWABARAT-NTB,
35,2026-04-05,04:01:46,-7.9,114.23,14,2.1,34 km Tenggara SITUBONDO-JATIM,
36,2026-04-05,07:33:34,-7.54,115.77,10,2.4,93 km Utara KARANGASEM-BALI,
37,2026-04-05,16:26:30,-8.46,117.16,10,2.1,13 km Timur PERNANG-NTB,
38,2026-04-05,20:03:26,-9.48,116.38,36,2.2,86 km Selatan LOMBOKTENGAH-NTB,
40,2026-04-06,00:15:21,-8.47,116.87,10,1.9,5 km BaratDaya PULAUPANJANG-NTB,
41,2026-04-06,02:52:41,-8.72,115.86,15,1.9,31 km Barat LOMBOKBARAT-NTB,
