No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
9,2026-02-01,06:01:54,-8.56,118.11,153,2.4,30 km Barat Kab. Bima-NTB,
17,2026-02-01,12:40:17,-8.65,118.37,103,2.2,6 km Selatan Kab. Bima-NTB,
19,2026-02-01,13:27:31,-8.64,116.31,90,2.2,8 km TimurLaut Kab. Lombok Tengah-NTB,
24,2026-02-01,16:15:04,-8.57,118.03,107,2.2,38 km Barat Kab. Bima-NTB,
30,2026-02-01,19:17:43,-8.71,117.58,220,2.0,30 km Tenggara Kab. Sumbawa-NTB,
32,2026-02-01,20:13:28,-8.71,117.09,137,2.1,30 km Timur Kab. Sumbawa Barat-NTB,
33,2026-02-01,23:45:50,-8.56,116.24,104,1.7,16 km Timur Kota Mataram-NTB,
36,2026-02-02,02:11:30,-8.71,117.15,138,3.2,37 km Timur Kab. Sumbawa Barat-NTB,
42,2026-02-02,05:56:25,-8.72,117.37,112,1.9,26 km Selatan Kab. Sumbawa-NTB,
56,2026-02-02,17:59:45,-8.71,117.74,114,1.8,43 km Tenggara Kab. Sumbawa-NTB,
61,2026-02-02,19:50:29,-8.79,117.05,134,2.1,26 km Timur Kab. Sumbawa Barat-NTB,
67,2026-02-02,21:02:16,-8.77,118.45,110,1.8,21 km Selatan Kab. Bima-NTB,
84,2026-02-03,09:56:06,-8.24,117.8,65,2.2,50 km TimurLaut Kab. Sumbawa-NTB,
92,2026-02-03,15:14:39,-8.46,118.73,110,1.9,0 km Timur Kota Bima-NTB,
93,2026-02-03,15:17:28,-8.69,118.1,80,1.7,32 km Barat Kab. Bima-NTB,
95,2026-02-03,15:38:34,-8.8,119.0,104,2.5,48 km Tenggara Kota Bima-NTB,
98,2026-02-03,16:50:18,-8.63,116.19,94,2.4,8 km TimurLaut Kab. Lombok Barat-NTB,
108,2026-02-04,05:23:08,-8.64,116.12,88,2.6,4 km Utara Kab. Lombok Barat-NTB,
120,2026-02-04,13:45:55,-8.76,119.12,99,2.8,54 km Tenggara Kota Bima-NTB,
122,2026-02-04,14:52:00,-8.59,118.35,109,2.2,3 km Barat Kab. Bima-NTB,
124,2026-02-04,16:02:26,-8.57,118.39,114,1.7,3 km TimurLaut Kab. Bima-NTB,
125,2026-02-04,16:13:51,-8.73,119.07,103,2.2,48 km Tenggara Kota Bima-NTB,
131,2026-02-04,20:24:06,-8.58,118.39,112,2.3,2 km TimurLaut Kab. Bima-NTB,
138,2026-02-04,23:40:20,-8.73,118.3,100,1.9,17 km BaratDaya Kab. Bima-NTB,
141,2026-02-05,02:33:57,-8.4,118.13,145,4.2,35 km BaratLaut Kab. Bima-NTB,
147,2026-02-05,09:16:34,-8.59,118.39,109,2.6,2 km Timur Kab. Bima-NTB,
150,2026-02-05,12:09:11,-8.82,117.98,130,1.7,50 km BaratDaya Kab. Bima-NTB,
151,2026-02-05,12:17:35,-8.44,117.99,119,1.8,46 km Barat Kab. Bima-NTB,
158,2026-02-05,16:50:11,-10.82,117.77,116,2.9,218 km BaratDaya Kab. Sumba Barat-NTT,
160,2026-02-05,19:11:12,-8.94,118.44,93,2.1,39 km Selatan Kab. Bima-NTB,
166,2026-02-05,23:43:50,-8.41,118.97,157,2.1,27 km Timur Kota Bima-NTB,
171,2026-02-06,03:49:49,-9.84,118.13,145,2.5,132 km Barat Kab. Sumba Barat Daya-NTT,
173,2026-02-06,04:51:44,-8.59,115.43,89,2.8,6 km Tenggara Kab. Klungkung-Bali,
175,2026-02-06,06:30:30,-8.58,118.78,92,2.6,14 km Tenggara Kota Bima-NTB,
