No,Tanggal,Waktu (WIB),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
3,2026-01-01,06:21:29,-9.1,115.19,80,2.3,48 km Selatan Kota Denpasar-Bali,
19,2026-01-03,01:29:27,-8.63,116.35,85,1.6,11 km TimurLaut Kab. Lombok Tengah-NTB,
21,2026-01-03,04:15:44,-8.63,117.03,143,1.9,27 km TimurLaut Kab. Sumbawa Barat-NTB,
29,2026-01-04,23:07:06,-8.51,114.6,106,2.3,17 km Selatan Kab. Jembrana-Bali,
41,2026-01-06,11:50:00,-8.09,116.9,115,2.5,73 km BaratLaut Kab. Sumbawa-NTB,
77,2026-01-07,03:29:34,-8.41,116.05,263,2.5,21 km Utara Kota Mataram-NTB,
110,2026-01-07,08:50:56,-8.65,116.28,92,2.7,6 km Utara Kab. Lombok Tengah-NTB,
113,2026-01-07,12:28:56,-8.41,115.27,204,2.8,11 km BaratLaut Kab. Bangli-Bali,
126,2026-01-07,18:38:15,-8.66,116.03,91,2.2,10 km BaratDaya Kota Mataram-NTB,
154,2026-01-07,21:21:39,-8.68,116.26,90,2.9,3 km BaratLaut Kab. Lombok Tengah-NTB,
326,2026-01-08,22:48:43,-8.72,116.69,98,2.1,15 km Barat Kab. Sumbawa Barat-NTB,
328,2026-01-08,23:13:43,-8.5,115.83,63,1.6,24 km Timur Kab. Karangasem-Bali,
359,2026-01-09,00:35:24,-8.51,115.69,116,1.9,10 km Tenggara Kab. Karangasem-Bali,
383,2026-01-09,18:42:02,-8.73,116.02,90,2.6,14 km BaratDaya Kab. Lombok Barat-NTB,
390,2026-01-10,10:13:32,-8.49,115.64,115,2.3,5 km Tenggara Kab. Karangasem-Bali,
397,2026-01-10,17:31:18,-9.14,114.78,80,2.6,70 km BaratDaya Kota Denpasar-Bali,
438,2026-01-12,00:04:07,-8.6,116.26,94,2.1,11 km Utara Kab. Lombok Tengah-NTB,
447,2026-01-12,08:03:45,-8.65,116.05,89,2.0,8 km BaratDaya Kota Mataram-NTB,
467,2026-01-14,06:33:24,-8.39,116.66,158,2.4,33 km TimurLaut Kab. Lombok Timur-NTB,
471,2026-01-14,18:22:07,-8.68,116.26,98,2.7,3 km BaratLaut Kab. Lombok Tengah-NTB,
474,2026-01-14,21:34:08,-9.17,116.27,71,2.6,52 km Selatan Kab. Lombok Tengah-NTB,
485,2026-01-16,03:03:02,-8.82,115.47,84,2.4,32 km Selatan Kab. Klungkung-Bali,
488,2026-01-16,07:42:17,-8.24,117.25,290,3.1,34 km BaratLaut Kab. Sumbawa-NTB,
