No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
1,2026-03-01,00:46:12,-9.23,118.0764,12.6,2.75,78 km BaratDaya Kab. Bima-NTB,
2,2026-03-01,01:34:42,-8.17,117.8113,24.4,2.33,56 km TimurLaut Kab. Sumbawa-NTB,
3,2026-03-01,01:59:37,-8.23,117.7721,21.7,2.23,48 km TimurLaut Kab. Sumbawa-NTB,
4,2026-03-01,03:31:34,-8.23,117.7562,28.1,2.48,47 km TimurLaut Kab. Sumbawa-NTB,
5,2026-03-01,03:48:47,-8.09,117.7019,10.0,3.68,54 km TimurLaut Kab. Sumbawa-NTB,
7,2026-03-01,04:26:56,-8.41,116.2108,10.7,2.38,8 km BaratDaya Kab. Lombok Utara-NTB,
8,2026-03-01,06:06:32,-8.07,116.7821,37.6,2.6,67 km TimurLaut Kab. Lombok Utara-NTB,
9,2026-03-01,09:45:07,-8.18,117.7546,20.5,2.54,51 km TimurLaut Kab. Sumbawa-NTB,
10,2026-03-01,10:49:27,-8.21,117.783,10.5,2.3,51 km TimurLaut Kab. Sumbawa-NTB,
11,2026-03-01,13:44:47,-8.73,117.9786,10.0,1.62,46 km Barat Kab. Bima-NTB,
12,2026-03-01,14:54:24,-8.83,117.9935,13.5,1.84,50 km BaratDaya Kab. Bima-NTB,
13,2026-03-01,15:01:31,-9.37,116.5341,59.2,2.54,75 km BaratDaya Kab. Sumbawa Barat-NTB,
14,2026-03-01,15:02:26,-8.37,117.7793,10.0,2.09,42 km Timur Kab. Sumbawa-NTB,
16,2026-03-01,16:10:00,-8.65,117.7168,10.4,2.1,37 km Tenggara Kab. Sumbawa-NTB,
17,2026-03-01,16:31:31,-8.46,115.3957,12.9,1.67,5 km Timur Kab. Bangli-Bali,
18,2026-03-01,16:31:57,-8.5,115.4497,14.1,1.18,7 km TimurLaut Kab. Klungkung-Bali,
19,2026-03-01,16:37:02,-8.52,115.4348,10.0,1.37,4 km TimurLaut Kab. Klungkung-Bali,
20,2026-03-01,16:38:13,-8.66,115.5366,10.0,2.07,20 km Tenggara Kab. Klungkung-Bali,
21,2026-03-01,16:44:47,-8.35,118.5912,24.6,1.85,19 km BaratLaut Kota Bima-NTB,
22,2026-03-01,17:08:50,-9.41,118.0789,20.3,2.14,96 km Selatan Kab. Bima-NTB,
23,2026-03-01,17:18:48,-8.53,115.9956,17.2,2.0,14 km BaratLaut Kota Mataram-NTB,
24,2026-03-01,17:25:13,-8.3,117.6667,10.0,2.17,34 km TimurLaut Kab. Sumbawa-NTB,
26,2026-03-01,18:36:16,-8.13,117.684,10.0,2.51,50 km TimurLaut Kab. Sumbawa-NTB,
27,2026-03-01,18:43:11,-8.18,117.7405,10.0,2.31,49 km TimurLaut Kab. Sumbawa-NTB,
28,2026-03-01,18:48:19,-9.31,115.731,42.8,2.52,83 km BaratDaya Kab. Lombok Barat-NTB,
29,2026-03-01,19:20:36,-8.21,114.781,10.6,1.48,23 km TimurLaut Kab. Jembrana-Bali,
30,2026-03-01,19:27:59,-10.99,118.1861,10.0,3.22,199 km BaratDaya Kab. Sumba Barat-NTT,
32,2026-03-01,20:32:57,-8.23,117.7539,20.2,2.64,47 km TimurLaut Kab. Sumbawa-NTB,
33,2026-03-01,20:44:27,-7.92,117.6626,21.4,2.36,69 km TimurLaut Kab. Sumbawa-NTB,
34,2026-03-01,20:52:56,-8.23,117.7642,24.8,2.29,48 km TimurLaut Kab. Sumbawa-NTB,
36,2026-03-01,21:01:08,-8.65,116.8273,44.3,1.58,11 km Utara Kab. Sumbawa Barat-NTB,
37,2026-03-02,00:31:19,-9.65,118.044,19.3,2.27,122 km Selatan Kab. Bima-NTB,
38,2026-03-02,01:24:11,-8.61,116.8593,20.6,2.16,16 km Utara Kab. Sumbawa Barat-NTB,
39,2026-03-02,01:36:06,-8.27,117.7668,23.3,2.05,45 km TimurLaut Kab. Sumbawa-NTB,
40,2026-03-02,02:05:26,-7.94,117.4768,12.7,2.51,61 km Utara Kab. Sumbawa-NTB,
41,2026-03-02,02:38:48,-8.18,117.7062,10.5,2.08,47 km TimurLaut Kab. Sumbawa-NTB,
42,2026-03-02,02:47:11,-8.2,117.8236,23.8,2.22,55 km TimurLaut Kab. Sumbawa-NTB,
43,2026-03-02,02:59:23,-8.21,117.6879,11.6,2.25,43 km TimurLaut Kab. Sumbawa-NTB,
44,2026-03-02,03:00:35,-7.96,117.6614,10.3,2.1,65 km TimurLaut Kab. Sumbawa-NTB,
45,2026-03-02,03:33:24,-8.27,117.7477,21.0,2.01,44 km TimurLaut Kab. Sumbawa-NTB,
47,2026-03-02,06:57:54,-8.42,118.6556,35.2,1.85,9 km BaratLaut Kota Bima-NTB,
48,2026-03-02,07:59:57,-8.19,117.6603,10.0,2.06,43 km TimurLaut Kab. Sumbawa-NTB,
49,2026-03-02,11:40:10,-8.47,116.0415,16.3,2.13,16 km BaratLaut Kota Mataram-NTB,
50,2026-03-02,13:02:31,-9.55,117.372,19.4,2.92,107 km Tenggara Kab. Sumbawa Barat-NTB,
52,2026-03-02,14:36:18,-8.23,117.9183,26.1,2.58,62 km TimurLaut Kab. Sumbawa-NTB,
53,2026-03-02,15:00:54,-8.59,116.7889,10.6,1.86,18 km Utara Kab. Sumbawa Barat-NTB,
56,2026-03-02,22:07:00,-8.11,117.7632,15.4,3.29,57 km TimurLaut Kab. Sumbawa-NTB,
57,2026-03-02,22:42:14,-7.93,117.3903,16.6,3.14,62 km Utara Kab. Sumbawa-NTB,
58,2026-03-03,00:34:12,-9.48,117.6716,23.8,2.63,113 km Selatan Kab. Sumbawa-NTB,
59,2026-03-03,01:34:52,-9.52,116.582,37.5,2.65,89 km Selatan Kab. Sumbawa Barat-NTB,
60,2026-03-03,02:06:20,-9.38,116.5925,58.5,2.58,74 km Selatan Kab. Sumbawa Barat-NTB,
61,2026-03-03,03:25:27,-8.34,116.6282,10.0,2.19,36 km Utara Kab. Lombok Timur-NTB,
62,2026-03-03,03:34:03,-9.65,116.1821,21.5,3.07,106 km Selatan Kab. Lombok Tengah-NTB,
63,2026-03-03,03:45:12,-8.6,117.7837,31.2,2.56,42 km Timur Kab. Sumbawa-NTB,
64,2026-03-03,04:09:35,-7.83,118.0377,12.5,3.01,91 km BaratLaut Kab. Dompu-NTB,
65,2026-03-03,07:06:07,-8.13,117.6801,10.0,2.32,49 km TimurLaut Kab. Sumbawa-NTB,
66,2026-03-03,07:40:40,-7.92,117.6536,10.0,2.52,68 km Utara Kab. Sumbawa-NTB,
68,2026-03-03,08:43:25,-8.86,116.8753,10.0,2.5,13 km Tenggara Kab. Sumbawa Barat-NTB,
69,2026-03-03,12:19:50,-8.38,117.0002,27.6,2.41,46 km TimurLaut Kab. Sumbawa Barat-NTB,
70,2026-03-03,12:56:59,-8.22,117.7528,27.3,2.49,47 km TimurLaut Kab. Sumbawa-NTB,
71,2026-03-03,13:54:11,-9.37,116.0176,36.0,2.73,78 km Selatan Kab. Lombok Barat-NTB,
72,2026-03-03,14:24:33,-8.66,118.7457,10.0,2.3,22 km Selatan Kota Bima-NTB,
73,2026-03-03,14:31:14,-8.3,116.5053,20.2,2.22,29 km Timur Kab. Lombok Utara-NTB,
74,2026-03-03,14:46:38,-9.47,117.6579,19.7,2.48,111 km Selatan Kab. Sumbawa-NTB,
75,2026-03-03,15:57:18,-9.78,118.142,18.8,3.34,128 km Barat Kab. Sumba Barat Daya-NTT,
76,2026-03-03,15:57:26,-8.36,117.7461,10.0,2.34,39 km Timur Kab. Sumbawa-NTB,
77,2026-03-03,16:09:04,-10.23,117.6004,49.3,3.15,185 km Tenggara Kab. Sumbawa Barat-NTB,
78,2026-03-03,16:32:04,-7.52,117.5384,11.0,2.76,108 km Utara Kab. Sumbawa-NTB,
79,2026-03-03,17:03:17,-8.71,119.1926,10.0,2.17,58 km Tenggara Kota Bima-NTB,
81,2026-03-03,21:12:21,-8.22,117.6758,10.0,2.24,41 km TimurLaut Kab. Sumbawa-NTB,
83,2026-03-03,23:10:26,-8.16,117.8532,12.6,2.82,60 km TimurLaut Kab. Sumbawa-NTB,
84,2026-03-04,00:54:31,-8.98,117.4708,23.8,1.92,54 km Selatan Kab. Sumbawa-NTB,
85,2026-03-04,01:37:25,-8.13,118.4787,14.4,2.38,45 km Utara Kab. Dompu-NTB,
86,2026-03-04,01:39:46,-8.16,117.759,10.0,2.09,52 km TimurLaut Kab. Sumbawa-NTB,
87,2026-03-04,01:55:14,-8.93,119.1115,10.0,2.44,55 km Utara Kab. Sumba Barat Daya-NTT,
89,2026-03-04,04:49:58,-7.98,117.7181,36.0,2.66,65 km TimurLaut Kab. Sumbawa-NTB,
90,2026-03-04,06:06:38,-8.17,117.7083,25.6,2.87,48 km TimurLaut Kab. Sumbawa-NTB,
91,2026-03-04,06:20:59,-8.32,117.5204,10.0,3.51,22 km TimurLaut Kab. Sumbawa-NTB,
92,2026-03-04,07:21:54,-8.84,118.1365,11.4,3.1,38 km BaratDaya Kab. Bima-NTB,
93,2026-03-04,08:04:32,-9.07,118.126,26.0,2.74,59 km BaratDaya Kab. Bima-NTB,
94,2026-03-04,10:14:09,-8.2,117.7035,24.6,2.81,45 km TimurLaut Kab. Sumbawa-NTB,
