No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
6,2026-03-01,03:52:51,-9.26,115.5278,62.5,4.78,74 km Tenggara Kota Denpasar-Bali,"dirasakan di wilayah Kota Denpasar, Kab. Badung, Kab. Lombok Tengah, Kab. Lombok Barat, Kota Mataram III MMI, Kab. Tabanan, Kab. Gianyar, Kab. Lombok Timur, Kab. Sumbawa, Kab. Sumbawa Barat II MMI"
15,2026-03-01,15:28:16,-8.47,114.5718,105.8,1.98,14 km BaratDaya Kab. Jembrana-Bali,
25,2026-03-01,17:27:01,-8.57,116.339,95.6,1.54,16 km TimurLaut Kab. Lombok Tengah-NTB,
31,2026-03-01,19:43:25,-8.25,117.3304,294.1,3.31,29 km Utara Kab. Sumbawa-NTB,
35,2026-03-01,20:56:09,-8.49,118.3587,116.1,2.29,12 km Utara Kab. Bima-NTB,
46,2026-03-02,04:08:11,-8.78,116.3331,92.8,4.14,11 km Tenggara Kab. Lombok Tengah-NTB,
51,2026-03-02,13:45:03,-8.35,117.9993,173.4,3.51,50 km BaratLaut Kab. Bima-NTB,
54,2026-03-02,17:31:33,-10.08,117.5418,110.1,2.6,167 km Tenggara Kab. Sumbawa Barat-NTB,
55,2026-03-02,21:34:07,-8.83,117.2042,140.8,2.45,43 km Timur Kab. Sumbawa Barat-NTB,
67,2026-03-03,08:02:20,-8.33,118.8012,147.1,3.01,17 km TimurLaut Kota Bima-NTB,
80,2026-03-03,19:50:30,-8.81,117.1379,148.9,2.31,36 km Timur Kab. Sumbawa Barat-NTB,
82,2026-03-03,22:26:56,-11.21,117.819,65.5,3.58,244 km BaratDaya Kab. Sumba Barat-NTT,
88,2026-03-04,02:27:43,-8.35,118.1267,123.2,2.33,39 km BaratLaut Kab. Bima-NTB,
101,2026-03-04,16:05:14,-8.48,116.5574,95.9,1.8,19 km Utara Kab. Lombok Timur-NTB,
105,2026-03-04,17:10:04,-8.59,118.0465,118.8,2.2,36 km Barat Kab. Bima-NTB,
