No,Tanggal,Waktu (WIB),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
1,2026-03-27,01:27:50,-9.07,116.64,10,2.1,42 km BaratDaya SUMBAWABARAT-NTB,
2,2026-03-27,02:26:39,-8.25,114.77,10,2.0,22 km TimurLaut JEMBRANA-BALI,
3,2026-03-27,02:30:24,-9.37,115.06,20,2.4,66 km Selatan KUTASELATAN-BALI,
4,2026-03-27,10:00:22,-8.89,117.13,146,3.1,34 km Tenggara SUMBAWABARAT-NTB,
5,2026-03-27,10:49:35,-8.85,116.87,10,2.0,11 km Selatan SUMBAWABARAT-NTB,
6,2026-03-27,13:59:27,-8.22,114.8,10,2.4,27 km TimurLaut JEMBRANA-BALI,
7,2026-03-27,17:49:56,-8.21,114.8,13,2.1,27 km TimurLaut JEMBRANA-BALI,
8,2026-03-27,21:49:12,-9.39,115.12,28,2.6,67 km Selatan KUTASELATAN-BALI,
9,2026-03-28,02:37:41,-8.21,114.89,11,2.2,25 km BaratDaya BULELENG-BALI,
10,2026-03-28,05:01:24,-9.31,116.46,59,3.5,70 km Selatan LOMBOKTENGAH-NTB,
11,2026-03-28,05:24:29,-8.68,114.97,90,2.1,23 km BaratDaya TABANAN-BALI,
12,2026-03-28,16:52:46,-8.24,114.82,10,2.1,27 km TimurLaut JEMBRANA-BALI,
13,2026-03-28,19:31:16,-8.93,115.7,10,2.3,54 km Timur KUTASELATAN-BALI,
14,2026-03-28,19:33:11,-8.5,117.27,11,2.6,17 km Barat SUMBAWA-NTB,
15,2026-03-29,00:03:40,-8.72,116.71,16,1.8,16 km Barat SUMBAWABARAT-NTB,
16,2026-03-29,00:54:10,-8.27,115.57,22,2.0,10 km TimurLaut KARANGASEM-BALI,
17,2026-03-29,01:11:42,-8.0,117.28,15,2.7,54 km TimurLaut PULAUSARINGI-NTB,
18,2026-03-29,01:57:04,-9.44,115.19,37,2.3,71 km Selatan KUTASELATAN-BALI,
19,2026-03-29,02:15:26,-9.35,115.16,47,2.4,62 km Selatan KUTASELATAN-BALI,
20,2026-03-29,02:18:09,-8.41,116.85,287,2.5,7 km BaratLaut PULAUPANJANG-NTB,
21,2026-03-29,04:19:33,-8.98,115.68,74,2.2,54 km Timur KUTASELATAN-BALI,
22,2026-03-29,04:37:12,-8.22,114.8,11,0.8,27 km TimurLaut JEMBRANA-BALI,
23,2026-03-29,06:06:26,-9.44,116.67,35,2.7,79 km Selatan SUMBAWABARAT-NTB,
24,2026-03-29,09:32:28,-10.99,116.97,10,3.2,248 km Selatan SUMBAWABARAT-NTB,
25,2026-03-29,11:11:34,-8.9,116.88,10,2.4,16 km Selatan SUMBAWABARAT-NTB,
26,2026-03-29,11:26:30,-8.91,116.94,10,1.9,20 km Tenggara SUMBAWABARAT-NTB,
27,2026-03-29,11:56:04,-8.37,117.06,11,2.7,7 km TimurLaut PULAUSARINGI-NTB,
28,2026-03-29,18:01:22,-8.03,114.69,10,1.3,37 km Utara JEMBRANA-BALI,
29,2026-03-29,19:13:04,-8.44,116.0,14,2.0,20 km BaratDaya LOMBOKUTARA-NTB,
30,2026-03-29,22:22:46,-8.23,114.81,16,1.2,27 km TimurLaut JEMBRANA-BALI,
31,2026-03-29,22:37:34,-8.33,115.31,21,1.6,13 km BaratLaut BANGLI-BALI,
32,2026-03-29,23:54:36,-8.53,116.04,16,1.7,20 km BaratLaut LOMBOKBARAT-NTB,
33,2026-03-30,01:15:50,-8.46,117.08,12,2.0,4 km Timur PERNANG-NTB,
34,2026-03-30,01:17:54,-9.6,117.15,27,2.7,99 km Selatan SUMBAWABARAT-NTB,
35,2026-03-30,01:46:55,-10.48,113.96,10,4.5,232 km BaratDaya KUTASELATAN-BALI,
36,2026-03-30,03:23:05,-9.49,117.11,28,2.1,86 km Selatan SUMBAWABARAT-NTB,
37,2026-03-30,03:42:51,-8.65,116.05,93,1.8,10 km Barat LOMBOKBARAT-NTB,
38,2026-03-30,03:47:52,-8.22,114.79,10,1.2,26 km TimurLaut JEMBRANA-BALI,
39,2026-03-30,04:16:56,-10.47,114.46,25,3.3,203 km BaratDaya KUTASELATAN-BALI,
40,2026-03-30,05:02:19,-8.47,117.09,14,1.8,6 km Timur PERNANG-NTB,
41,2026-03-30,09:32:20,-9.55,116.3,31,2.7,93 km Selatan LOMBOKTENGAH-NTB,
42,2026-03-30,10:22:58,-9.18,115.15,85,2.9,43 km Selatan KUTASELATAN-BALI,
43,2026-03-30,11:18:47,-9.05,116.69,39,2.4,37 km BaratDaya SUMBAWABARAT-NTB,
44,2026-03-30,22:30:58,-8.83,116.0,83,2.1,22 km BaratDaya LOMBOKBARAT-NTB,
45,2026-03-31,15:09:19,-9.19,115.55,78,3.7,56 km Tenggara KUTASELATAN-BALI,
46,2026-03-31,16:36:42,-8.41,116.05,11,2.4,13 km BaratDaya LOMBOKUTARA-NTB,
47,2026-03-31,17:26:23,-11.25,115.99,38,4.3,283 km Selatan LOMBOKTENGAH-NTB,
48,2026-03-31,21:28:30,-8.35,114.77,10,1.8,19 km Timur JEMBRANA-BALI,
49,2026-03-31,23:14:47,-8.18,114.81,17,1.7,30 km TimurLaut JEMBRANA-BALI,
50,2026-03-31,23:31:10,-8.32,114.97,16,1.8,26 km BaratDaya BULELENG-BALI,
51,2026-04-01,01:36:25,-8.33,114.98,10,2.4,27 km BaratDaya BULELENG-BALI,
52,2026-04-01,01:54:47,-9.81,117.1,15,2.5,120 km Selatan SUMBAWABARAT-NTB,
53,2026-04-01,03:32:06,-8.6,116.37,92,1.7,16 km TimurLaut LOMBOKTENGAH-NTB,
54,2026-04-01,13:25:29,-8.93,116.92,10,2.3,21 km Selatan SUMBAWABARAT-NTB,
55,2026-04-01,13:52:45,-8.85,116.84,17,2.0,11 km Selatan SUMBAWABARAT-NTB,
56,2026-04-01,14:41:05,-8.12,114.83,12,1.9,29 km Barat BULELENG-BALI,
57,2026-04-01,15:20:58,-8.24,114.8,11,2.2,25 km TimurLaut JEMBRANA-BALI,
58,2026-04-01,17:41:17,-8.96,115.23,91,2.5,18 km Selatan KUTASELATAN-BALI,
59,2026-04-01,23:15:34,-9.68,114.14,29,2.7,154 km BaratDaya KUTASELATAN-BALI,
60,2026-04-02,00:03:27,-8.26,114.99,148,2.6,20 km BaratDaya BULELENG-BALI,
61,2026-04-02,01:30:24,-8.57,116.44,18,1.4,13 km BaratLaut LOMBOKTIMUR-NTB,
62,2026-04-02,15:26:09,-9.51,115.33,87,2.8,80 km Selatan KUTASELATAN-BALI,
63,2026-04-02,19:54:04,-9.53,117.16,12,2.1,92 km Selatan SUMBAWABARAT-NTB,
64,2026-04-02,21:39:41,-8.46,117.22,23,2.3,20 km Timur PERNANG-NTB,
65,2026-04-02,21:53:58,-9.53,117.12,21,2.2,91 km Selatan SUMBAWABARAT-NTB,
66,2026-04-02,22:00:39,-8.46,117.24,16,2.0,20 km Barat SUMBAWA-NTB,
67,2026-04-02,22:08:40,-8.5,117.24,10,1.8,20 km Barat SUMBAWA-NTB,
68,2026-04-02,22:22:32,-8.47,117.25,14,2.1,19 km Barat SUMBAWA-NTB,
