No,Tanggal,Waktu (UTC),Lintang,Bujur,Kedalaman,Magnitude,Keterangan,Dirasakan
1,2026-02-01,01:15:06,-8.1,117.7205,24.6,2.22,55 km TimurLaut Kab. Sumbawa-NTB,
2,2026-02-01,02:50:08,-10.15,118.8394,14.7,2.82,82 km BaratDaya Kab. Sumba Barat-NTT,
3,2026-02-01,03:01:47,-9.36,117.1003,40.3,2.5,74 km Tenggara Kab. Sumbawa Barat-NTB,
4,2026-02-01,03:38:14,-8.8,116.9032,10.3,2.2,11 km Tenggara Kab. Sumbawa Barat-NTB,
5,2026-02-01,04:09:50,-10.19,115.4249,10.0,4.51,170 km Selatan Kota Denpasar-Bali,
6,2026-02-01,04:54:57,-8.49,118.5973,19.6,2.12,15 km Barat Kota Bima-NTB,
7,2026-02-01,05:45:27,-8.22,117.642,15.6,2.36,39 km TimurLaut Kab. Sumbawa-NTB,
8,2026-02-01,05:52:01,-8.16,117.6276,10.0,2.3,43 km TimurLaut Kab. Sumbawa-NTB,
9,2026-02-01,06:01:54,-8.56,118.1091,153.0,2.37,30 km Barat Kab. Bima-NTB,
10,2026-02-01,07:17:45,-9.3,117.037,52.3,2.81,65 km Selatan Kab. Sumbawa Barat-NTB,
11,2026-02-01,07:32:02,-8.1,115.1868,16.6,2.53,11 km Timur Kab. Buleleng-Bali,
12,2026-02-01,08:05:25,-8.46,117.8559,28.8,2.56,48 km Timur Kab. Sumbawa-NTB,
13,2026-02-01,08:34:05,-9.47,117.9676,32.1,3.5,107 km BaratDaya Kab. Bima-NTB,
14,2026-02-01,09:03:53,-8.48,117.4117,8.0,2.32,2 km BaratLaut Kab. Sumbawa-NTB,
15,2026-02-01,12:39:08,-9.0,118.6609,28.1,2.45,55 km Tenggara Kab. Bima-NTB,
16,2026-02-01,12:40:17,-8.65,118.3706,102.7,2.2,6 km Selatan Kab. Bima-NTB,
17,2026-02-01,13:01:16,-8.3,116.7616,14.4,3.09,47 km TimurLaut Kab. Lombok Timur-NTB,
18,2026-02-01,13:27:31,-8.64,116.3111,89.5,2.16,8 km TimurLaut Kab. Lombok Tengah-NTB,
19,2026-02-01,13:29:11,-8.4598,115.6838,11.2,3.55,"Bali Region, Indonesia",dirasakan di wilayah Kab Karangasem III MMI
20,2026-02-01,13:40:30,-7.73,118.7552,29.4,2.48,81 km Utara Kota Bima-NTB,
21,2026-02-01,14:44:04,-8.46,115.6974,11.5,2.06,9 km Timur Kab. Karangasem-Bali,
22,2026-02-01,16:15:04,-8.57,118.0281,106.8,2.18,38 km Barat Kab. Bima-NTB,
23,2026-02-01,16:16:32,-11.09,118.2217,10.0,3.22,206 km BaratDaya Kab. Sumba Barat-NTT,
24,2026-02-01,16:49:46,-8.21,117.5999,10.2,2.0,37 km TimurLaut Kab. Sumbawa-NTB,
25,2026-02-01,17:02:34,-8.8,117.8512,10.0,1.99,58 km Tenggara Kab. Sumbawa-NTB,
26,2026-02-01,18:38:00,-8.36,116.4048,16.8,1.74,17 km Timur Kab. Lombok Utara-NTB,
27,2026-02-01,18:48:47,-8.37,116.4098,10.1,2.16,18 km Timur Kab. Lombok Utara-NTB,
28,2026-02-01,19:17:43,-8.71,117.5778,219.8,2.01,30 km Tenggara Kab. Sumbawa-NTB,
29,2026-02-01,19:36:39,-9.4,117.0936,24.6,2.4,78 km Tenggara Kab. Sumbawa Barat-NTB,
30,2026-02-01,20:13:28,-8.71,117.0868,137.0,2.12,30 km Timur Kab. Sumbawa Barat-NTB,
31,2026-02-01,23:45:50,-8.56,116.2414,103.7,1.74,16 km Timur Kota Mataram-NTB,
32,2026-02-02,00:22:50,-9.1,116.8723,10.0,2.54,39 km Selatan Kab. Sumbawa Barat-NTB,
33,2026-02-02,01:40:06,-8.09,117.7229,22.9,2.45,56 km TimurLaut Kab. Sumbawa-NTB,
34,2026-02-02,02:11:30,-8.71,117.1467,137.6,3.19,36 km Timur Kab. Sumbawa Barat-NTB,
35,2026-02-02,02:27:52,-8.24,117.7679,19.9,2.74,47 km TimurLaut Kab. Sumbawa-NTB,
36,2026-02-02,02:33:14,-9.53,117.1013,20.6,2.45,91 km Selatan Kab. Sumbawa Barat-NTB,
37,2026-02-02,03:08:25,-8.31,119.2964,10.0,2.22,65 km Timur Kota Bima-NTB,
38,2026-02-02,03:33:00,-7.97,117.6735,12.4,2.08,64 km TimurLaut Kab. Sumbawa-NTB,
39,2026-02-02,03:59:25,-8.29,117.726,59.1,2.13,40 km TimurLaut Kab. Sumbawa-NTB,
40,2026-02-02,05:56:25,-8.72,117.367,112.3,1.92,26 km Selatan Kab. Sumbawa-NTB,
41,2026-02-02,06:24:09,-8.69,117.9429,10.0,1.62,49 km Barat Kab. Bima-NTB,
42,2026-02-02,08:13:20,-9.4,115.4087,25.6,2.71,84 km Selatan Kota Denpasar-Bali,
43,2026-02-02,10:45:10,-9.46,117.1696,24.2,2.24,87 km Tenggara Kab. Sumbawa Barat-NTB,
44,2026-02-02,12:02:09,-8.19,117.643,33.6,1.96,41 km TimurLaut Kab. Sumbawa-NTB,
45,2026-02-02,12:38:49,-9.03,117.8384,11.4,1.92,75 km Tenggara Kab. Sumbawa-NTB,
46,2026-02-02,12:55:18,-9.04,117.7454,21.5,1.82,70 km Tenggara Kab. Sumbawa-NTB,
47,2026-02-02,13:07:15,-8.23,117.7588,19.8,2.36,47 km TimurLaut Kab. Sumbawa-NTB,
48,2026-02-02,13:39:52,-7.75,115.8934,307.2,2.93,77 km BaratLaut Kab. Lombok Utara-NTB,
49,2026-02-02,13:45:25,-9.28,118.0848,23.1,2.04,82 km BaratDaya Kab. Bima-NTB,
50,2026-02-02,15:17:54,-8.39,117.8968,46.7,1.86,54 km Timur Kab. Sumbawa-NTB,
51,2026-02-02,16:23:50,-8.84,118.691,18.0,1.83,42 km Tenggara Kab. Dompu-NTB,
52,2026-02-02,17:11:33,-8.39,116.9554,13.1,3.07,43 km Utara Kab. Sumbawa Barat-NTB,
53,2026-02-02,17:52:44,-8.26,117.7635,24.3,2.3,46 km TimurLaut Kab. Sumbawa-NTB,
54,2026-02-02,17:59:45,-8.71,117.7352,113.8,1.81,42 km Tenggara Kab. Sumbawa-NTB,
55,2026-02-02,18:29:17,-8.26,117.7387,13.7,1.94,43 km TimurLaut Kab. Sumbawa-NTB,
56,2026-02-02,18:36:56,-8.23,117.7841,10.0,2.13,49 km TimurLaut Kab. Sumbawa-NTB,
57,2026-02-02,19:30:56,-8.33,116.9816,10.0,4.36,50 km Utara Kab. Sumbawa Barat-NTB,
58,2026-02-02,19:31:39,-8.37,116.9531,10.0,3.98,45 km Utara Kab. Sumbawa Barat-NTB,
59,2026-02-02,19:50:29,-8.79,117.0477,134.2,2.08,26 km Timur Kab. Sumbawa Barat-NTB,
60,2026-02-02,20:02:05,-9.12,116.884,10.0,2.17,41 km Selatan Kab. Sumbawa Barat-NTB,
61,2026-02-02,20:03:54,-8.36,116.9316,10.0,2.17,45 km Utara Kab. Sumbawa Barat-NTB,
62,2026-02-02,20:12:04,-8.39,116.9554,10.0,2.01,43 km Utara Kab. Sumbawa Barat-NTB,
63,2026-02-02,20:23:16,-8.46,119.0471,15.8,1.75,35 km Timur Kota Bima-NTB,
64,2026-02-02,20:48:01,-8.26,117.7682,21.8,1.86,46 km TimurLaut Kab. Sumbawa-NTB,
65,2026-02-02,21:02:16,-8.77,118.4469,109.9,1.77,21 km Selatan Kab. Bima-NTB,
66,2026-02-02,21:21:36,-8.14,117.7063,17.2,2.31,50 km TimurLaut Kab. Sumbawa-NTB,
67,2026-02-02,22:33:29,-8.44,118.0577,24.9,1.83,39 km BaratLaut Kab. Bima-NTB,
68,2026-02-02,22:59:14,-8.39,116.9528,12.3,3.44,43 km Utara Kab. Sumbawa Barat-NTB,
