Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
17/01/2024;05:30:32;-8.27;115.53;10;3.6;8 km timur laut Karangasem;dirasakan di wilayah Karangasem II MMI
25/01/2024;21:41:28;-8.99;115.69;101;4.8;55 km Tenggara Kuta Selatan, Bali ;dirasakan di wilayah Kota Mataram, Lombok Timur, Lombok Barat, Lombok Tengah III MMI. Kuta, Kuta Selatan, Tabanan, Klungkung, Bangli, Gianyar, Karangasem, Denpasar II-III MMI. Lombok Utara, Sumbawa Barat II MMI 
27/01/2024;15:33:17;-11.56;113.36;10;5.6;370 Km arah Barat Daya Kuta Selatan, Bali;dirasakan di daerah Kuta, Mataram dan Lombok Barat dengan skala intensitas III MMI. Denpasar dan Gianyar dengan skala intensitas II MMI. 
18/02/2024;23:47:28;-8.38;114.49;10;4.1;12 km barat Jembrana, Bali ;dirasakan di wilayah Banyuwangi dan Jembrana III MMI 
05/03/2024;15:37:23;-9.59;115.24;23;4.5;88 km Tenggara Kuta Selatan, Bali ;dirasakan di wilayah Kuta Selatan, Kuta, Denpasar dan Karangasem II MMI 
24/03/2024;20:19:01;-8.22;115.61;10;3.5;17 km timur laut Karangasem, Bali ;dirasakan di wilayah Karangasem II MMI 
08/05/2024;04:09:55;-9.6;115.81;82;5.2;108 Km arah Barat Daya Lombok Barat, Nusa Tenggara Barat ;dirasakan di daerah Badung, Denpasar, Gianyar, Tabanan, Lombok Tengah, Lombok Barat, Lombok Timur, Kota Mataram, Lombok Utara, Sumbawa Barat dengan skala intensitas III MMI. Karangasem dengan skala intensitas II MMI 
14/05/2024;14:11:10;-8.46;116.05;16;5.5;di Selat Lombok, Lombok Barat, Nusa Tenggara Barat;dirasakan di Kota Mataram, Lombok Timur, Lombok Barat, Lombok Tengah, Lombok Utara, Sumbawa Barat, Sumbawa, Badung, Denpasar, Karangasem, Bangli dengan skala intensitas III MMI. Tabanan dengan skala intensitas II MMI.
06/06/2024;19:15:40;-9.22;116.94;10;5.1;52 Km arah Tenggara Sumbawa Barat, Nusa Tenggara Barat ;dirasakan di Kota Gianyar, Badung, dan Denpasar dengan skala intensitas III MMI 
11/07/2024;17:53:45;-8.27;115.53;10;3.2;8 km timur laut Karangasem, Bali;dirasakan di wilayah Karangasem dan Bangli II MMI
15/07/2024;12:29:06;-8.15;114.86;12;3.7;25 km baratdaya Buleleng, Bali ;dirasakan di wilayah Seririt II MMI 
06/08/2024;22:14:22;-8.43;115.69;11;2.8;20 km Tenggara Karangasem, Bali ;dirasakan di wilayah Karangasem II MMI
14/08/2024;20:14:03;-9.48;114.02;52;5;141 Km arah Barat Daya Jembrana, Bali ;dirasakan di daerah Banyuwangi dengan skala intensitas III- IV MMI. Badung, Tabanan, Jember dengan skala intensitas II-III MMI. Denpasar, Bondowoso, Karangkates, Malang dengan skala intensitas II MMI.
21/08/2024;17:58:30;-10.27;116.42;48;5.2;175 Km arah Tenggara Lombok Tengah, NTB ;dirasakan di daerah Lombok Utara, Lombok Barat, Lombok Timur, Lombok Tengah, Mataram, Sumbawa Barat  dengan skala intensitas III MMI. Denpasar, Klungkung, Karangasem dan Badung dengan skala intensitas II MMI.
07/09/2024;08:51:44;-8.52;115.35;10;4.9;2 km timur laut Gianyar, Bali ;dirasakan di wilayah Gianyar III-IV MMI. 
14/09/2024;08:31:07;-9.02;115.62;85;4.4;50 km Tenggara Kuta Selatan, Bali;dirasakan di wilayah Kota Mataram, Lombok Barat, Lombok Tengah II - III MMI. Gianyar, Badung, Denpasar, dan Karangasem II MMI.
14/09/2024;19:35:35;-8.5;115.41;17;2.6;4 km timur laut Klungkung, Bali;dirasakan di wilayah Bangli II MMI
21/09/2024;06:26:20;-8.57;115.32;22;4.8;3 km barat daya Gianyar;diraskan di wilayah Gianyar IV MMI. Badung, Tabanan, Denpasar, Karangasem, dan Bangli III MMI. Buleleng, Mataram, dan Lombok Barat II MMI
10/10/2024;05:07:33;-9.16;115.34;66;4;42 km Tenggara Kuta Selatan, Bali;diraskan di wilayah Lombok Barat, Lombok Tengah dan Karangasem II MMI
23/10/2024;16:12:48;-9.25;114.04;23;4.3;117 km Barat Jembrana;dirasakan di wilayah Banyuwangi II - III MMI, Denpasar, Kuta II MMI.
