Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
02/01/2024;06:03:04;-8.66;116.24;129;1.7;6 km BaratLaut LOMBOKTENGAH-NTB;
02/01/2024;15:29:06;-8.58;116.36;194;3.1;17 km TimurLaut LOMBOKTENGAH-NTB;
03/01/2024;13:10:55;-8.9;116.83;124;3.2;16 km BaratDaya SUMBAWABARAT-NTB;
04/01/2024;05:15:05;-8.84;116.26;96;1.9;14 km BaratDaya LOMBOKTENGAH-NTB;
05/01/2024;18:48:50;-8.62;116.2;96;2.7;9 km TimurLaut LOMBOKBARAT-NTB;
06/01/2024;02:33:08;-8.7;115.86;90;1.4;30 km BaratDaya LOMBOKBARAT-NTB;
06/01/2024;13:10:56;-8.56;116.29;97;2.4;16 km TimurLaut LOMBOKTENGAH-NTB;
12/01/2024;21:38:53;-8.68;116.18;130;2.3;4 km TimurLaut LOMBOKBARAT-NTB;
12/01/2024;01:54:19;-8.29;115.3;224;3;17 km BaratLaut BANGLI-BALI;
13/01/2024;02:40:36;-9.08;115.68;77;2.6;59 km Tenggara KUTASELATAN-BALI;
13/01/2024;09:12:30;-8.63;116.27;115;2.7;8 km Utara LOMBOKTENGAH-NTB;
14/01/2024;18:57:54;-8.68;116.65;110;2.8;13 km Tenggara LOMBOKTIMUR-NTB;
15/01/2024;23:56:01;-8.66;116.28;140;2.1;5 km TimurLaut LOMBOKTENGAH-NTB;
17/01/2024;00:04:30;-8.33;116.36;246;3.6;22 km TimurLaut LOMBOKUTARA-NTB;
20/01/2024;18:40:48;-8.64;114.95;100;2.3;22 km BaratDaya TABANAN-BALI;
21/01/2024;01:30:55;-8.28;114.77;207;2.9;20 km TimurLaut JEMBRANA-BALI;
24/01/2024;00:49:27;-9.38;117.09;94;2.3;74 km Tenggara SUMBAWABARAT-NTB;
25/01/2024;06:55:10;-8.9;114.47;74;3;62 km BaratDaya JEMBRANA-BALI;
25/01/2024;21:52:05;-8.73;115.73;95;3;42 km Tenggara KLUNGKUNG-BALI;
25/01/2024;18:16:43;-8.3;117.28;220;3.1;26 km BaratLaut SUMBAWA-NTB;
26/01/2024;07:50:31;-8.67;116.03;90;2.7;11 km BaratLaut LOMBOKBARAT-NTB;
26/01/2024;05:54:49;-8.64;114.97;91;2.5;20 km BaratDaya TABANAN-BALI;
28/01/2024;13:52:47;-8.85;116.53;136;2.7;22 km Selatan LOMBOKTIMUR-NTB;
29/01/2024;04:01:23;-9.18;115.62;79;2.6;61 km Tenggara KUTASELATAN-BALI;
30/01/2024;09:12:34;-8.61;114.98;84;2.3;17 km BaratDaya TABANAN-BALI;
30/01/2024;01:44:48;-8.6;116.31;93;1.9;12 km TimurLaut LOMBOKTENGAH-NTB;
30/01/2024;01:49:41;-8.23;115.97;258;2.5;25 km BaratLaut LOMBOKUTARA-NTB;
31/01/2024;04:35:58;-8.82;115.65;69;2.2;41 km Tenggara KLUNGKUNG-BALI;
01/02/2024;22:58:26;-8.63;115.57;108;2.2;21 km Tenggara KLUNGKUNG-BALI;
03/02/2024;12:18:42;-8.57;115.04;123;2.6;9 km BaratDaya TABANAN-BALI;
05/02/2024;16:19:16;-8.71;115.48;97;2.8;21 km Tenggara KLUNGKUNG-BALI;
06/02/2024;19:33:21;-8.71;116.28;213;2.9;1 km Tenggara LOMBOKTENGAH-NTB;
07/02/2024;04:45:17;-8.12;117.3;298;2.6;43 km BaratLaut SUMBAWA-NTB;
08/02/2024;14:06:26;-8.61;116.21;103;1.9;11 km TimurLaut LOMBOKBARAT-NTB;
08/02/2024;00:49:26;-8.41;115.68;237;2.7;19 km Tenggara KARANGASEM-BALI;
10/02/2024;22:44:41;-8.64;116.28;97;1.7;7 km TimurLaut LOMBOKTENGAH-NTB;
12/02/2024;07:39:14;-8.12;116.68;276;3.6;43 km BaratLaut PULAUPANJANG-NTB;
13/02/2024;00:00:45;-9.22;115.96;127;2.8;62 km BaratDaya LOMBOKBARAT-NTB;
14/02/2024;02:05:44;-8.73;115.7;86;1.9;39 km Tenggara KLUNGKUNG-BALI;
14/02/2024;13:34:55;-8.66;116.17;93;2.2;4 km TimurLaut LOMBOKBARAT-NTB;
14/02/2024;03:27:50;-8.64;116.29;95;2.3;7 km TimurLaut LOMBOKTENGAH-NTB;
15/02/2024;00:52:18;-8.54;116.32;66;2.3;19 km TimurLaut LOMBOKTENGAH-NTB;
17/02/2024;00:46:58;-8.59;117.28;107;2.1;19 km BaratDaya SUMBAWA-NTB;
18/02/2024;11:29:57;-8.64;116.07;92;1.7;8 km BaratLaut LOMBOKBARAT-NTB;
22/02/2024;03:50:36;-8.66;116.3;91;2.7;6 km TimurLaut LOMBOKTENGAH-NTB;
24/02/2024;06:36:17;-8.72;115.38;80;2.3;19 km TimurLaut KUTASELATAN-BALI;
24/02/2024;17:57:15;-8.34;115.79;234;2.6;29 km TimurLaut KARANGASEM-BALI;
26/02/2024;03:07:09;-8.49;115.83;213;2.1;37 km Tenggara KARANGASEM-BALI;
28/02/2024;19:23:02;-8.77;116.33;92;2.4;9 km Tenggara LOMBOKTENGAH-NTB;
01/03/2024;04:05:53;-8.71;114.99;86;2.4;24 km BaratDaya TABANAN-BALI;
01/03/2024;23:42:30;-8.34;117.03;272;2.6;8 km TimurLaut PULAUSARINGI-NTB;
02/03/2024;18:21:59;-8.8;115.67;99;2.5;41 km Tenggara KLUNGKUNG-BALI;
03/03/2024;11:14:47;-8.63;116.26;62;2.2;8 km BaratLaut LOMBOKTENGAH-NTB;
04/03/2024;22:36:03;-8.54;115.43;173;2.3;3 km Tenggara KLUNGKUNG-BALI;
05/03/2024;08:30:31;-8.18;114.88;196;2.4;24 km BaratDaya BULELENG-BALI;
10/03/2024;22:37:05;-8.75;117.08;142;2.3;25 km TimurLaut SUMBAWABARAT-NTB;
11/03/2024;06:59:17;-8.61;116.17;90;2.6;8 km TimurLaut LOMBOKBARAT-NTB;
12/03/2024;01:59:57;-8.68;115.44;111;2.4;16 km Tenggara KLUNGKUNG-BALI;
